,FB,AMZN,AAPL,NFLX,GOOGL,BTC
1/1/2018,186.8500061,1229.140015,169.4572144,209.9900055,1110.290039,13412.44
1/8/2018,179.3699951,1305.199951,171.4810638,221.2299957,1130.650024,14970.3575
1/15/2018,181.2899933,1294.579956,172.807663,220.4600067,1143.5,13585.9013
1/22/2018,190,1402.050049,166.0777588,274.6000061,1187.560059,10772.15
1/29/2018,190.2799988,1429.949951,155.4165192,267.4299927,1119.199951,11158.3938
2/5/2018,176.1100006,1339.599976,151.4560394,249.4700012,1046.27002,6914.26
2/12/2018,177.3600006,1448.689941,167.6493988,278.519989,1095.5,8891.2125
2/19/2018,183.2899933,1500,170.6342773,285.9299927,1128.089966,11159.7238
2/26/2018,176.6199951,1500.25,171.3246002,301.0499878,1084.140015,10313.0825
3/5/2018,185.2299957,1578.890015,174.9900513,331.4400024,1160.839966,11432.9825
3/12/2018,185.0899963,1571.680054,173.0844269,318.4500122,1134.420044,9118.2713
3/19/2018,159.3899994,1495.560059,160.3670349,300.9400024,1026.550049,8594.1913
3/26/2018,159.7899933,1447.339966,163.1283112,295.3500061,1037.140015,8138.3363
4/2/2018,157.1999969,1405.22998,163.7117004,288.8500061,1009.950012,7049.7938
4/9/2018,164.5200043,1430.790039,169.8856049,311.6499939,1036.040039,6773.9388
4/16/2018,166.2799988,1527.48999,161.125412,327.769989,1077.319946,8051.345
4/23/2018,173.5899963,1572.619995,157.8196869,311.7600098,1031.449951,8938.3038
4/30/2018,176.6100006,1580.949951,178.7333221,320.0899963,1051,9244.3225
5/7/2018,186.9900055,1602.910034,183.3613434,326.4599915,1103.380005,9362.5338
5/14/2018,182.6799927,1574.369995,181.8430786,324.1799927,1069.640015,8675.2063
5/21/2018,184.9199982,1610.150024,184.0586548,351.2900085,1084.079956,8395.2325
5/28/2018,193.9900055,1641.540039,185.678833,359.9299927,1135,7105.6725
6/4/2018,189.1000061,1683.98999,187.1038513,360.5700073,1132.709961,7490.59
6/11/2018,195.8500061,1715.969971,184.312439,391.980011,1159.27002,6877.1825
6/18/2018,201.7400055,1715.670044,180.4863892,411.0899963,1169.290039,6709.48
6/25/2018,194.3200073,1699.800049,180.6718445,391.4299927,1129.189941,6247.4675
7/2/2018,203.2299957,1710.630005,183.4632721,408.25,1155.079956,6613.27
7/9/2018,207.3200073,1813.030029,186.7427063,395.7999878,1204.420044,6664.2063
7/16/2018,209.9400024,1813.699951,186.8501129,361.0499878,1197.880005,6726.405
7/23/2018,174.8899994,1817.27002,186.4011383,355.2099915,1252.890015,7717.5
7/30/2018,177.7799988,1823.290039,203.0032806,343.0899963,1238.160034,8167.9988
8/6/2018,180.2599945,1886.300049,202.554306,345.8699951,1252.51001,6937.0738
8/13/2018,173.8000031,1882.219971,213.1081238,316.7799988,1215.849976,6252.37
